TC ID,Issue Type,Test Type,Test Case Name,Description,Step Description,Expected Result,Test Repository path,Status,User Story Number,Priority
EZ-277-TC-001,Bug,Positive,Verify space between subjectivity and static wording,Verify that proper space is displayed between entered subjectivity and static wording,1. Navigate to Financial Lines form 2. Enter subjectivity text 3. Observe display with static wording,Space should be visible between subjectivity text and static wording,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,High
EZ-277-TC-002,Bug,Positive,Verify spacing in single word subjectivity,Verify that proper spacing is maintained when subjectivity is a single word,1. Enter single word subjectivity 2. Check spacing with static text,Single word subjectivity should have space before static wording,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,High
EZ-277-TC-003,Bug,Positive,Verify spacing in multi-word subjectivity,Verify that proper spacing is maintained when subjectivity contains multiple words,1. Enter multi-word subjectivity 2. Check spacing with static text,Multi-word subjectivity should have space before static wording,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,High
EZ-277-TC-004,Bug,Positive,Verify spacing in saved Financial Lines record,Verify that spacing persists correctly after saving the Financial Lines record,1. Enter subjectivity 2. Save form 3. Reload record 4. Check spacing,Spacing should be maintained after save and reload,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,High
EZ-277-TC-005,Bug,Positive,Verify spacing in exported Financial Lines document,Verify that spacing is correct when Financial Lines document is exported,1. Create Financial Lines with subjectivity 2. Export to PDF 3. Check spacing in output,Exported document should display proper spacing between subjectivity and static text,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Medium
EZ-277-TC-006,Bug,Positive,Verify spacing with special characters in subjectivity,Verify that spacing works correctly when subjectivity contains special characters,1. Enter subjectivity with special characters (!@#$) 2. Check spacing,Special characters should not affect spacing between subjectivity and static text,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Medium
EZ-277-TC-007,Bug,Positive,Verify spacing with numbers in subjectivity,Verify that spacing works correctly when subjectivity contains numbers,1. Enter subjectivity with numbers (e.g. Coverage 2025) 2. Check spacing,Numbers in subjectivity should not affect spacing,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Low
EZ-277-TC-008,Bug,Positive,Verify spacing consistency across multiple records,Verify that spacing is consistent across multiple Financial Lines records,1. Create multiple Financial Lines records 2. Check spacing on each record,All records should display consistent spacing,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Medium
EZ-277-TC-009,Bug,Negative,Verify no missing space between subjectivity and static text,Verify that the bug of missing space is fixed (not present),1. Check current Financial Lines form 2. Verify space exists between subjectivity and static text,Space should be present (bug should be fixed),PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,High
EZ-277-TC-010,Bug,Negative,Verify spacing with very long subjectivity,Verify that spacing is maintained even with very long subjectivity text,1. Enter very long subjectivity (200+ characters) 2. Check spacing,Spacing should be maintained regardless of subjectivity length,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Medium
EZ-277-TC-011,Bug,Negative,Verify no extra spaces inserted,Verify that no unnecessary extra spaces are inserted between subjectivity and static text,1. Check spacing between subjectivity and static text 2. Count spaces,Only single space should exist between subjectivity and static text,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Medium
EZ-277-TC-012,Bug,Negative,Verify spacing with leading/trailing spaces in subjectivity,Verify that leading/trailing spaces in subjectivity do not cause spacing issues,1. Enter subjectivity with leading/trailing spaces 2. Check final spacing,System should trim spaces and maintain proper single space,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,Medium
EZ-277-TC-013,Bug,Data Validation,Validate spacing with empty subjectivity,Verify system behavior when subjectivity field is empty,1. Leave subjectivity empty 2. Check static text display,Static text should display correctly or show validation message,PecoL1/Ezdocs-Manual/Dec us,To-do,EZ-277,High
